iter	RMSE
0	11970.65079
1	11894.34185
2	11824.62746
3	11757.10026
4	11684.62886
5	11615.87995
6	11543.75101
7	11470.46171
8	11401.46997
9	11334.94104
10	11264.9344
11	11196.86544
12	11132.36146
13	11066.19585
14	10997.3566
15	10929.26595
16	10863.32619
17	10803.42732
18	10739.47785
19	10676.95907
20	10612.60633
21	10543.94516
22	10487.00258
23	10426.52075
24	10362.81042
25	10299.41603
26	10237.72673
27	10182.76737
28	10122.81257
29	10064.82025
30	10005.81787
31	9946.763186
32	9887.613937
33	9832.939673
34	9777.630307
35	9717.948599
36	9660.16614
37	9606.29013
38	9549.701804
39	9497.237218
40	9446.846446
41	9392.433306
42	9340.746275
43	9287.559087
44	9239.736941
45	9193.153629
46	9144.256579
47	9099.120749
48	9050.377118
49	9002.416801
50	8951.855296
51	8905.307043
52	8861.386824
53	8820.830925
54	8771.811161
55	8721.848482
56	8677.415698
57	8632.614921
58	8587.122478
59	8542.054364
60	8496.551471
61	8451.626041
62	8407.910251
63	8365.878049
64	8326.29099
65	8283.020789
66	8249.937353
67	8208.439846
68	8166.571512
69	8131.176309
70	8089.650927
71	8048.017346
72	8010.186606
73	7970.165218
74	7930.571907
75	7892.925385
76	7854.982681
77	7817.765274
78	7780.758828
79	7745.297488
80	7708.773407
81	7670.823153
82	7638.21754
83	7605.537623
84	7567.228717
85	7531.527654
86	7501.028601
87	7474.279175
88	7440.102282
89	7409.630655
90	7377.85912
91	7345.68049
92	7312.395164
93	7279.116658
94	7245.24462
95	7210.490217
96	7180.756463
97	7149.763161
98	7117.40896
99	7086.600199
100	7063.316136
101	7032.431624
102	7001.807185
103	6971.926089
104	6943.003234
105	6913.179081
106	6883.650522
107	6858.584447
108	6831.18434
109	6805.804993
110	6776.334993
111	6751.642172
112	6722.108946
113	6697.115613
114	6671.959064
115	6646.84541
116	6621.518065
117	6595.794912
118	6572.385578
119	6548.794876
120	6524.341252
121	6500.179214
122	6478.157541
123	6454.115903
124	6429.664275
125	6404.982326
126	6382.328626
127	6359.629333
128	6337.270638
129	6314.785661
130	6294.113271
131	6273.86087
132	6250.43316
133	6230.095014
134	6206.679775
135	6184.317743
136	6164.760876
137	6144.956179
138	6123.504694
139	6104.157414
140	6085.708255
141	6067.862153
142	6048.244466
143	6028.991362
144	6008.986361
145	5991.524709
146	5974.340683
147	5956.941361
148	5937.948901
149	5919.464902
150	5900.817695
151	5881.815385
152	5864.165679
153	5845.328108
154	5828.472098
155	5811.61978
156	5793.004042
157	5777.219409
158	5761.427965
159	5744.648155
160	5727.99291
161	5711.901989
162	5697.239037
163	5682.070287
164	5667.611103
165	5652.444954
166	5638.069578
167	5622.685409
168	5610.128174
169	5596.402765
170	5580.978371
171	5567.338167
172	5551.589511
173	5536.641042
174	5522.338739
175	5508.45014
176	5494.520729
177	5484.89423
178	5470.586587
179	5457.013114
180	5443.827324
181	5430.070724
182	5416.755904
183	5405.511679
184	5393.206608
185	5381.107102
186	5369.647437
187	5356.496761
188	5345.189639
189	5332.631749
190	5320.865329
191	5309.238502
192	5296.667103
193	5284.549606
194	5273.050963
195	5261.003957
196	5250.257984
197	5239.436941
198	5228.272952
199	5216.699595
200	5206.425445
201	5195.710803
202	5185.328666
203	5175.455707
204	5165.039108
205	5155.184019
206	5146.364226
207	5136.192094
208	5129.365983
209	5119.747057
210	5110.857233
211	5101.151671
212	5091.462846
213	5082.52623
214	5074.045246
215	5064.482068
216	5055.822801
217	5049.949536
218	5040.298531
219	5031.348752
220	5021.748666
221	5013.441506
222	5004.660449
223	4996.100624
224	4986.561967
225	4978.840295
226	4969.260588
227	4960.600596
228	4953.705835
229	4945.199402
230	4937.714803
231	4929.552357
232	4922.776994
233	4914.839117
234	4907.818098
235	4899.792169
236	4892.539848
237	4888.014163
238	4883.56006
239	4876.148233
240	4868.947985
241	4864.625529
242	4858.85726
243	4852.193431
244	4845.205068
245	4839.119
246	4832.75283
247	4827.941347
248	4821.199551
249	4814.701623
250	4808.429547
251	4801.984373
252	4795.61887
253	4789.91192
254	4785.330691
255	4779.06846
256	4774.275817
257	4767.704277
258	4762.192219
259	4755.883746
260	4750.173967
261	4744.330422
262	4738.054459
263	4732.376081
264	4727.552001
265	4721.77979
266	4716.866238
267	4711.491015
268	4707.41115
269	4702.151203
270	4697.552331
271	4692.894594
272	4688.070961
273	4683.069225
274	4679.323008
275	4674.72137
276	4670.175854
277	4666.14011
278	4661.467834
279	4656.822226
280	4651.708283
281	4646.906864
282	4643.413318
283	4638.285962
284	4633.843349
285	4628.928751
286	4624.422833
287	4619.464735
288	4615.265471
289	4610.711607
290	4606.635244
291	4602.721136
292	4599.023583
293	4594.799317
294	4590.884054
295	4585.735528
296	4581.726157
297	4577.713571
298	4574.410255
299	4570.086626
300	4565.847925
301	4562.068289
302	4557.988166
303	4554.229906
304	4550.163784
305	4545.993206
306	4542.811826
307	4539.194081
308	4535.339725
309	4531.470994
310	4527.74125
311	4523.991075
312	4522.292574
313	4519.551289
314	4516.254656
315	4512.534864
