iter	Passed	Remaining
0	0	875
1	2	1046
2	2	986
3	3	922
4	4	865
5	4	798
6	5	715
7	5	742
8	6	741
9	7	708
10	7	698
11	8	696
12	8	681
13	9	674
14	10	662
15	10	654
16	11	648
17	11	638
18	12	637
19	12	636
20	13	635
21	14	623
22	14	627
23	15	625
24	15	620
25	16	618
26	17	613
27	17	614
28	18	611
29	18	607
30	19	609
31	20	609
32	20	608
33	21	615
34	22	614
35	22	605
36	23	599
37	23	595
38	23	590
39	24	582
40	24	584
41	25	583
42	26	580
43	26	581
44	27	580
45	27	579
46	28	579
47	29	577
48	29	573
49	30	571
50	30	571
51	31	573
52	32	574
53	32	573
54	33	568
55	33	564
56	34	564
57	34	565
58	35	565
59	35	562
60	36	561
61	37	561
62	37	564
63	38	562
64	39	561
65	39	556
66	39	550
67	40	551
68	41	554
69	41	553
70	42	553
71	42	553
72	43	553
73	44	554
74	44	552
75	45	552
76	46	551
77	46	551
78	47	552
79	48	553
80	48	553
81	49	551
82	49	550
83	50	550
84	51	550
85	51	549
86	52	551
87	52	547
88	53	548
89	56	574
90	57	572
91	58	574
92	59	576
93	59	575
94	60	577
95	61	577
96	61	576
97	73	674
98	73	669
99	75	675
100	75	670
101	76	670
102	76	668
103	77	668
104	78	665
105	78	663
106	78	658
107	79	655
108	79	652
109	80	649
110	80	647
111	81	644
112	81	641
113	81	636
114	82	632
115	83	633
116	83	631
117	84	629
118	84	627
119	85	624
120	85	622
121	86	620
122	86	618
123	87	615
124	87	613
125	87	610
126	88	610
127	89	610
128	90	608
129	90	606
130	90	602
131	91	601
132	96	628
133	96	625
134	97	624
135	98	623
136	98	623
137	99	622
138	100	620
139	100	619
140	101	618
141	102	618
142	104	623
143	105	624
144	105	622
145	106	622
146	106	619
147	107	621
148	108	621
149	110	624
150	111	624
151	111	621
152	112	624
153	113	623
154	114	623
155	115	622
156	115	619
157	115	617
158	116	616
159	117	615
160	117	613
161	118	611
162	118	610
163	119	608
164	119	607
165	120	605
166	121	604
167	121	602
168	122	600
169	122	599
170	123	599
171	124	597
172	124	595
173	125	594
174	125	592
175	126	591
176	126	589
177	127	587
178	127	585
179	128	585
180	129	583
181	129	583
182	130	583
183	131	581
184	131	579
185	131	577
186	132	576
187	132	574
188	133	572
189	134	571
190	134	570
191	135	569
192	135	568
193	136	566
194	136	565
195	137	562
196	137	561
197	138	560
198	139	560
199	140	560
200	140	559
201	141	559
202	142	558
203	142	557
204	143	556
205	143	554
206	144	553
207	144	551
208	145	549
209	145	548
210	146	547
211	147	546
212	147	545
213	148	544
214	148	543
215	149	542
216	150	541
217	150	539
218	150	538
219	151	537
220	152	537
221	153	536
222	153	535
223	154	534
224	154	533
225	155	532
226	156	531
227	156	530
228	157	529
229	157	528
230	158	526
231	158	524
232	159	523
233	159	522
234	160	521
235	160	520
236	161	519
237	161	517
238	161	515
239	162	514
240	162	512
241	163	510
242	163	510
243	164	509
244	164	507
245	165	506
246	165	505
247	166	504
